,body
10,"John:

Claudio put together a spreadsheet for cheking the change on a composed 
jackup index against the change on individual categories of jackups and 
semis. He did not weighted the index because we think we will benefit from a 
simpler index price calculation by taking the straight average. 

The results show a good R-square between the general index and individual 
jackup categories - on the range of 0.7 - 0.8. Only one category displayed a 
poor R-square - about 0.3. For semis of 4tht and 5th generation, however, we 
noticed a degradation on the hedge effectiveness - R-squares about 0.2 - 0.3. 
You may verify each regression by changing the choice cell (AX2 on Analysis). 

Claudio is also starting to analyze how gas and crude past moving averages, 
12 month swaps on gas / crude, and rigs utilization explains the daily rates. 
We will forward the results as soon as we finish. 



Please call me or Claudio if you have questions.
Paulo Issler
"
11,"That's great Dan, the extension is actually only 6 months (Aug 01 - Jan 02).  
Also, can we make it an ""ammendment"" to the existing deal?




Dan J Hyvl
01/19/2001 01:00 PM
To: Dave Fuller/PDX/ECT@ECT
cc: Anne Bike/Corp/Enron@Enron, Tori Kuykendall/HOU/ECT@ECT 

Subject: Re: Mesa Restructure  

DAve,
 Once you decide which way you would like to go, We will issue a new 
Confirmation Letter which will cancel the two previous confirmation letters 
effective as of February 1, 2001.  Because the term extends some 17 months, 
we will require them to sign the confirmation letter with attached GTC.  Let 
me know, and I will generate.  



	Dave Fuller
	01/19/2001 01:25 PM
		 
		 To: Tori Kuykendall/HOU/ECT@ECT, Dan J Hyvl/HOU/ECT@ECT, Anne 
Bike/Corp/Enron@Enron
		 cc: 
		 Subject: Mesa Restructure

I have a proposed restructuring transaction with City of Mesa, Arizona.  It 
works like this:

1) Half their volume is currently priced at 3.74 (fixed, physical deal with 
us)
2) That deal runs through July 01
3) I want to reprice that deal at a higher price and use that equity to 
finance a discount to index for an extra six months.
4) They will do one of two transactions (shown below) one extends half the 
volume one extends the full volume.


       

I need help with a couple of things:

1) Since they canceled their Enfolio Agmt. can I get a contract from legal 
that will allow us to transact without it.
2) How do we get this deal in Mike's book and the risk system

Thanks,

Dave Fuller
503-464-3732






"
12,"Guys, reference to a) below has to do with the legal budget.

Sorry for the lack of clarity.

Regards
Delainey
---------------------- Forwarded by David W Delainey/HOU/ECT on 10/19/2000 
02:23 PM ---------------------------


David W Delainey
10/19/2000 12:33 PM
To: Wes Colwell/HOU/ECT@ECT, Sally Beck/HOU/ECT@ECT, Mark E 
Haedicke/HOU/ECT@ECT, David Oxley/HOU/ECT@ECT, Stephen H Douglas/HOU/ECT@ECT, 
Vince J Kaminski/HOU/ECT@ECT, Scott Tholan/Corp/Enron@Enron, Brian 
Redmond/HOU/ECT@ECT, Eric Thode/Corp/Enron@ENRON
cc: John J Lavorato/Corp/Enron@Enron, Mark Frevert/NA/Enron@Enron 
Subject: ENA Group Expenses

Guys, notes from the morning meeting.  Please review and comment.

Specific action items:
 a) i)further calculation of ENA/Non- ENA capacity charges, ii) estimation of 
outside legal and iii) formulation of charge out/feedback process to the 
business units;
 b) need budget/review for competitive analysis, technical and restructuring.




Regards
Delainey
"
13,"Critical Migration Information:

1. Your scheduled Outlook Migration Date is THE EVENING OF : TUESDAY, JUNE 
12th
2. You need to press the ""Save My Data"" button (only once) to send us your 
pre-migration information.
3. You must be connected to the network before you press the button.
4. If a POP-UP BOX appears, prompting you to ""ABORT, CANCEL OR TRUST SIGNER"" 
please  select TRUST SIGNER.
5. Any information you Add to your Personal Address Book, Journal or calendar 
after you click on the button will need to be manually re-added into Outlook 
after you have been migrated.
6. Clicking this button does not complete your migration to Outlook. Your 
migration will be completed  the evening of your migration date.



    Failure to click on the button means you WILL NOT get your Calendar, 
Contacts, Journal and ToDo information imported into Outlook the day of your 
migration and could result in up to a 2 week delay to restore this 
information.

If you encounter any errors please contact the resolution center @ 
713-853-1411 
"
14,"

Start Date: 1/20/02; HourAhead hour: 4;  HourAhead schedule download failed. Manual intervention required.
"
15,"Please send to all ETS Gas Logistics


In the never ending world of changes at Enron, upper management has determined that we will not be using the PEP system for feedback this year.   I apologize that this decision was made after you put time into selecting reviewers and completing reviews.   I have not received word on whether ETS year-end feedback will occur in any alternate form.  

As a result of this development, the feedback training session for this afternoon is cancelled.
"
16,"FYI - as we get closer to quarter end, it may help your DPR team to know about any pending deals that could be done close to quarter end.  --Sally 

 -----Original Message-----
From: 	Smith, Jeff E.  
Sent:	Monday, June  4, 2001 8:42 AM
To:	Beck, Sally; Bergsieker, Rick; Beyer, Michael J; Curran, Greg; Gonzalez, Erick; Hickerson, Gary; Lawyer, Larry; Mcclellan, George; McConnell, Mike; Mcgowan, Kevin; Price, Brent A.; Sekse, Per; Shankman, Jeffrey A.; Staley, Stuart; Tawney, Mark; Whitehead, Jonathan
Subject:	FW: Mgmt Summary and Hot List ending 6/1

Find attached the EGM Management Summary and Hot List as of 6/1/01.  Please contact me if you have any questions/comments.

Thanks,
Jeff 

 -----Original Message-----
From: 	Green, Alisa  
Sent:	Monday, June 04, 2001 8:35 AM
To:	Smith, Jeff E.
Subject:	Mgmt Summary and Hot List ending 6/1

  
"
17,"

Start Date: 10/6/01; HourAhead hour: 8;  No ancillary schedules awarded.  No variances detected. 

    LOG MESSAGES:

PARSING FILE -->> O:\Portland\WestDesk\California Scheduling\ISO Final Schedules\2001100608.txt

Error retrieving HourAhead price data - process continuing...
"
18,"Our source reports the following regarding  today's developments. In sum, due to the governor's sudden panic and  resultant willingness to negotiate, all parties are in a wait-and-see mode that  makes it unclear whether or not there will be an involuntary bankruptcy filing  early next week.  Our consensus view is that bankruptcy is still the most likely outcome, but the timing is subject to the ups and downs of these negotiations over the weekend.  Creditors, especially the small IPPs are close to the end on forbearance and highly frustrated with the erratic nature of the negotiations.

The events given in this report are  chronological:
 
- The original plan proposed by Governor Davis to  the utilities this morning contained the following points:

The parent companies of the utilities would have  to return to their subsidiaries $1.5 billion.  This money was originally  tranferred to the parent companies ostensibly so that the parents could use it  to pay taxes.  However, as was revealed in the audit, this money was in  excess of what was needed for taxes in reality.
The state would purchase the transmission assets  for $3.5 billion.
It was proposed that the utilities would issue  bonds to pay for the utilities' undercollection.  These bonds would be  secured against a ""distribution charge"" added to power bills.  This money  would be collected by DWR and transferred to the utilities, thereby involving  the state, but with less than a ""full faith and credit""  commitment.

- In contradiction to preliminary reports that  appeared in the press, this plan was rejected by the utilities.  One reason  for this rejection was the low price on the transmission assets.
 
- While the bondholders pressed for further  negotiations at this point in order to see if a deal could be reached; this is  because the bondholders are less impaired than the generators. The generators,  however, demanded that they be paid the money they are owed and threatened to  move quickly toward an involuntary bankrtupcy filing.
 
- Local sources report that Governor Davis  ""panicked"" at this point.  He then offered to purchase the transmission  assets for $6 billion (almost twice the earlier offer) and pay the generators'  undercollection (which amounts to $9 to $12 billion).  Reportedly, the  suggested term of the bonds that would be used to pay for this bail-out was 15  years, which would nearly double the actual cost of the bail-out.  This  plan would be put forward as a emergency legislative bill.
 
- At this point, consumer advocate Harvey  Rosenfield entered into negotiations with the state treasurer's office.  Rosenfield threatened that if the governor managed to pass this plan, he would start a  referendum to counter it.  Rosenfield would have up to 90 days after the  emergency bill was passed to put his referendum in place.  Knowledgeable  sources advise that it would be ""very difficult"" for the bonds in the plan to be  issued in less than 90 days; therefore, Rosenfield poses a credible  threat.
 
- In subsequent negotiations, Governor Davis has  offered to purchase the transmission assets for a price of at least $6 billion,  but possibly as high as $12 billion.
 
- Senator President Pro Tem John Burton is 'very  upset' with the governor for giving in on his negotiations so  easily.
 
- Mike Florio, another consumer advocate, contacted  Gov. Davis and said that the idea of negotiating a bail-out, as it  appeared Davis intended to do, was ""ridiculous.""  Florio and the other  consumer advocates threatened to ally themselves with Rosenfield and support the  referendum if Davis pursued such a course of action.  The consumer  advocates strongly feel that the generators have to ""take a hair cut"" as part of  the solution, as well.
 
- The governor will announce later this afternoon a  ""framework"" solution identical to that we have reported previously - a  state purchase of transmission assets and an issuance of bonds by the utilities,  but with state support through the DWR.  However, the state government has  yet to reach consensus on the numbers in this framework, and it remains unclear  whether the framework will be acceptable to all parties.
 
- With this announcement, the bondholders  may refrain from an involuntary filing in order to see what the terms of the  final agreement will be.  The generators, while more inclined to file  themselves, may feel that they have put enough pressure on the governor that it  may be worthwhile to wait and see, as well.  They are interested not only  in the terms of the agreement (and particularly the amount paid for the  undercollect), but also in the terms of the long-term power contracts that the  state must negotiate.  For example, if the state is willing to purchase  power at high prices in order to placate the generators, they would be very  likely to go along with the plan.
 
- 
"
19,"please print both
---------------------- Forwarded by Elizabeth Sager/HOU/ECT on 12/28/99 11:36 
AM ---------------------------


Tracy Ngo
12/28/99 11:14 AM
To: Sara Shackleton/HOU/ECT@ECT, Elizabeth Sager/HOU/ECT@ECT, Stuart 
Zisman/HOU/ECT@ECT
cc: Mark E Haedicke/HOU/ECT@ECT, Rick Buy/HOU/ECT@ECT, William S 
Bradford/HOU/ECT@ECT, Rodney Malcolm/HOU/ECT@ECT 
Subject: Latest Credit Worksheets for Project Moosehead

Attached please find the latest credit worksheets for the physical and 
financial transactions between EPMI and Merrill Lynch Capital Services, Inc.  
The credit worksheet for the physical transaction is in the form of a 
specific confirmation that will be confirmed under the existing Master Energy 
Purchase and Sale Agreement between EPMI and Merrill Lynch Capital Services.  
The credit worksheet for the financial transaction is in the form of a new 
ISDA Master Swap Agreement.  Per Bill Bradford, please note that Credit 
approval for both worksheets are contingent upon legal approval by Mark 
Haedicke of the physical and financial setoff/netting assumption.

I have requested and am waiting approval from Jeff McMahon to accept the 
counterparty's request to set the third party cross-default amount of 
$50,000,000.  For the purposes of these credit worksheets, the amount 
proposed remains at $100,000,000 for both parties.

Please call should you have any questions, x3-0554.

Regards,
Tracy



  

(physical confirm - credit worksheet)  (new ISDA Master - credit worksheet)
"
20,"Jason,
	The 138 MMBtu was cut @ Will County per conversation with our Gas
Transportation Services area.  Jeanette Trinidad of the area said ANR told
her when they tried to confirm the gas with Border @ Will County the lesser
number was confirmed.

Also, the 3,661 MMBtu cut for the 19th on Border contract R0259F will be
taken away from Peoples Gas.  Peoples will reduce its SIQ amount of 125,000
to 121,201 (3,661 + 138).

						Jer

> ----------
> From: 	Slechta, Jerry
> Sent: 	Friday, April 20, 2001 7:07 AM
> To: 	'Jason Williams'
> Cc: 	'Mark Mixon'
> Subject: 	Gas Day of April 19th
>
> Jason,
> 	138 MMBtu was cut after the final GISB cycle on ANR Contract 104684.
> The cut was the result of Northern Border confirming the incorrect number
> during the timely, evening and intraday 1 cycles.
>
> The supply @ Will County for Peoples went from 40,000 to 39,862.  Peoples
> Gas reduced its SIQ purchase from Enron North America.  The purchase went
> from 125,000 to 124,862.
>
> 					Jer
>

----------------------------------------------------------------
The information transmitted is intended only for the person
or entity to which it is addressed and may contain confidential
and/or privileged material.  Any review, retransmission,
dissemination or other use of, or taking of any action in reliance
upon, this information by persons or entities other than the
intended recipient is prohibited. If you received this in error,
please contact the sender and delete the material from any computer.
"
21,"Thank you for subscribing to the Alaska Airlines and Horizon Air Web
Specials Announcement Service.

Web Specials are a great way to save on flights with Alaska Airlines and
Horizon Air. Web Specials can only be purchased online through the Alaska
Airlines/Horizon Air Web Site.

Alaska Airlines and Horizon Air offer Web Specials for travel originating
Wednesday, 12/06/00 or Thursday, 12/07/00 or Saturday, 12/09/00, and
returning Saturday, 12/09/00 or Monday, 12/11/00 or Tuesday, 12/12/00.

Hurry, seats are limited, prices and markets subject to change.

The current specials are shown below (all fares quoted in US dollars)
without airport fees and segment tax:

Roundtrip Coach fares for travel between:

Anchorage, AK      -     Barrow, AK            -     $299.00
Anchorage, AK      -     Cordova, AK           -     $119.00
Anchorage, AK      -     Phoenix, AZ           -     $389.00
Anchorage, AK      -     Portland, OR          -     $299.00
Barrow, AK         -     Anchorage, AK         -     $299.00
Boise, ID          -     Lewiston, ID          -      $59.00
Bozeman, MT        -     Ketchikan, AK         -     $399.00
Bozeman, MT        -     Ontario, CA           -     $239.00
Bozeman, MT        -     San Francisco, CA     -     $209.00
Bozeman, MT        -     Seattle, WA           -     $109.00
Burbank, CA        -     Pullman, WA           -     $229.00
Cordova, AK        -     Anchorage, AK         -     $119.00
Eugene, OR         -     Portland, OR          -      $59.00
Fairbanks, AK      -     Pullman, WA           -     $399.00
Fairbanks, AK      -     Spokane, WA           -     $399.00
Fresno, CA         -     Juneau, AK            -     $329.00
Fresno, CA         -     Seattle, WA           -     $149.00
Juneau, AK         -     Fresno, CA            -     $329.00
Juneau, AK         -     Petersburg, AK        -      $99.00
Juneau, AK         -     Pullman, WA           -     $279.00
Juneau, AK         -     Seattle, WA           -     $199.00
Juneau, AK         -     Sitka, AK             -      $69.00
Juneau, AK         -     Wrangall, AK          -      $99.00
Ketchikan, AK      -     Bozeman, MT           -     $399.00
Ketchikan, AK      -     Portland, OR          -     $299.00
Ketchikan, AK      -     Pullman, WA           -     $309.00
Klamath Falls, OR  -     Portland, OR          -      $59.00
Lewiston, ID       -     Boise, ID             -      $59.00
Los Angeles, CA    -     San Francisco, CA     -      $99.00
Oakland, CA        -     Pullman, WA           -     $159.00
Ontario, CA        -     Bozeman, MT           -     $239.00
Orange County, CA  -     Redmond, OR           -     $229.00
Orange County, CA  -     Seattle, WA           -     $199.00
Palm Springs, CA   -     Seattle, WA           -     $199.00
Petersburg, AK     -     Juneau, AK            -      $99.00
Phoenix, AZ        -     Anchorage, AK         -     $389.00
Portland, OR       -     Anchorage, AK         -     $299.00
Portland, OR       -     Eugene, OR            -      $59.00
Portland, OR       -     Ketchikan, AK         -     $299.00
Portland, OR       -     Klamath Falls, OR     -      $59.00
Portland, OR       -     Redmond, OR           -      $79.00
Portland, OR       -     San Diego, CA         -     $189.00
Portland, OR       -     San Francisco, CA     -     $109.00
Portland, OR       -     Spokane, WA           -      $60.00
Pullman, WA        -     Burbank, CA           -     $229.00
Pullman, WA        -     Fairbanks, AK         -     $399.00
Pullman, WA        -     Juneau, AK            -     $279.00
Pullman, WA        -     Ketchikan, AK         -     $309.00
Pullman, WA        -     Oakland, CA           -     $159.00
Pullman, WA        -     Seattle, WA           -      $79.00
Redmond, OR        -     Orange County, CA     -     $229.00
Redmond, OR        -     Portland, OR          -      $79.00
Redmond, OR        -     Sacramento, CA        -     $159.00
Redmond, OR        -     Seattle, WA           -      $79.00
Sacramento, CA     -     Redmond, OR           -     $159.00
Sacramento, CA     -     Seattle, WA           -     $129.00
San Diego, CA      -     Portland, OR          -     $189.00
San Francisco, CA  -     Bozeman, MT           -     $209.00
San Francisco, CA  -     Los Angeles, CA       -      $99.00
San Francisco, CA  -     Portland, OR          -     $109.00
San Jose, CA       -     Tucson, AZ            -     $179.00
Seattle, WA        -     Bozeman, MT           -     $109.00
Seattle, WA        -     Fresno, CA            -     $149.00
Seattle, WA        -     Juneau, AK            -     $199.00
Seattle, WA        -     Orange County, CA     -     $199.00
Seattle, WA        -     Palm Springs, CA      -     $199.00
Seattle, WA        -     Pullman, WA           -      $79.00
Seattle, WA        -     Redmond, OR           -      $79.00
Seattle, WA        -     Sacramento, CA        -     $129.00
Sitka, AK          -     Juneau, AK            -      $69.00
Spokane, WA        -     Fairbanks, AK         -     $399.00
Spokane, WA        -     Portland, OR          -      $60.00
Tucson, AZ         -     San Jose, CA          -     $179.00
Wrangall, AK       -     Juneau, AK            -      $99.00

Additional markets are available at:
http://shopping.alaskaair.com/webspecials/start.asp. Check the Alaska Web
Specials page periodically as additional markets and dates may be added.

Web Special details:
Valid on Alaska Airlines or Horizon Air only.
Seats are limited and may not be available on all flights/dates.
Offer is for a very limited time and is subject to change without notice.
Valid on new bookings only.
Reservations must be made using the Alaska Airlines Web Site.  Tickets
require immediate purchase by credit card when reservations are made.
Ticketing will be electronic, using Instant Ticket services.
Tickets are non-refundable, non-changeable and are of no value after the
last date of your planned travel.
Fares quoted do not include Passenger Facilities Charges of up to $12 or
segment fees of $2.50 per flight segment.  A flight segment is defined as
one takeoff and one landing.
Other restrictions apply.

For special value rates at Hilton Hotels in Alaska Airlines cities visit
the Hilton Web site at:
http://www.hilton.com/specials/values/akairvalues.html


You are receiving this message today because you subscribed to our Email
Notification Service.

While we,d be pleased to continue to tell you about our great products and
prices, you can unsubscribe to our Email Notification Service by visiting
our Web site at: http://www2.alaskaair.com/listserv/webmail.asp

Please do not respond to this message.  Mail sent to this address cannot
be answered.





"
22,"Let me know if I can be of further help.

 -----Original Message-----
From: 	""Azam H Aziz"" <AAziz@Shearman.com>@ENRON  
Sent:	Tuesday, December 11, 2001 5:37 PM
To:	Jones, Tana
Subject:	Re: EnronOnline Documents


Thank you.
"
23,"Mike,
As you know, I have arranged for a meeting on December 6th among the Art
Committee and Jeff Skilling.  I feel that you should run this meeting.  I
would like to accomplish the following:

1) Discuss our Vision for the collection
2) Introduce Ned and Barry
3) Describe art locations in/outside the buildings
4) Discuss progress made to date and timetable
5) Discuss the process:  To what extent Jeff wants to be part of the
decision process going forward (i.e. is he comfortable approving our Vision
and having us implement? ...Or does he want veto power on each piece?)  The
latter would be cumbersome, and I personally would prefer the former, but we
definitely need clarification on this before we can proceed.
Questions right now for you:
1)   Would you like to invite Ken to join us in the meeting?
2) Ned cannot make it that day (first available day is Dec. 18th) so should
we postpone?  Barry is a ""maybe"".  Remember they are there to help us shape
a high quality collection and to make sure that we do not make any
purchasing ""mistakes"".
3) I have a first draft of the presentation, when can we meet to discuss it?
Following on our last meeting with Gensler, I am assembling a detailed list
of potential art locations by floor (including dimensions when possible) so
that we have a Master from which to work.  I will run it by Bonnie McCloud
and Bill Donovan to assure its accuracy.
Lastly, I have asked Bill Viola (the video artist for the work we are
considering) to come down to Houston to meet with us and with Gensler to
discuss where his piece might fit in the new building.  I have also placed a
call  Rob and Gregg at Pelli to let them know that I would like for them to
meet with a wonderful up and coming artist (Olafur Eliasson) who would like
to propose a ""water piece"" for the circular drive.  You will recall that
Pelli would very much like to have a water piece there.  Eliasson is very
well respected and innovative: He's created waterfalls that flow ""up"" and
wonderful minimal installation pieces that are quite beautiful.  I've asked
his gallery to let us know if he could meet with Pelli in Connecticut or in
Houston on their next trip.
Lastly, Enron has purchased the Alex Katz painting that is currently hanging
in 50M.  Please call me so I can brief you on how that happened.

I look forward to hearing from you soon.
Lea

 - Enron Art Collection Vision.doc
"
24,"Hello Everyone,

	Well, this week was no doubt a tough week for us all picking the winners. Approximately 10 of the NFL games were won by the underdogs this week. Many people missed the Pittsburgh/Tampa Bay game, also the Carolina/Washington game, Baltimore/Cleveland, New England/Indy game; Atlanta/New Orleans, Denver/San Diego and Green Bay/Minnesota game. Back on Thursday, Buffalo was only picked by one person over Jacksonville. In the college games, just about everyone missed the North Carolina/Clemson game, while the Wisconsin/Illinois and USC/Notre Dame games were missed by about half the people. 

	Through all that, Larry Campbell is the current leader with only 7 wrong, while George Phillips is the only other person still in contention with 8 wrong. Larry picked the Giants tonight with 39 total pts, while George picked the Eagles with 32 total points. Therefore, if the Giants win, Larry will win outright, if the Eagles win and there is 36 or more total pts, then Larry will also win. George will win with a Philly victory and 35 or fewer total points scored. There were 31 entries this week, therefore the prize is $62. 

	There is another Thursday night NFL game this week, therefore we will make this week's picks due Thursday afternoon. I did have a few requests for making each entry $3 this week, to increase the money you could win. Therefore, please email me back if you would like to see the entry fee at $3 instead of $2. If we get more than 20 people who would not mind a $1 increase in the entry fee for a bigger prize, then we will go with it. I do not want to go more than $3 for now. Therefore, if we can keep the 30-35 people each week, the prize will be closer to $100, instead of $60-70 dollars. This is not my idea to have some people give up more money, but just a suggestion I got from a few people. 
Below are the number of games missed by each person this week. 


										Andy

Larry Campbell		7
George Phillips		8
Carter Ellis		8
Joe Brewer		9
Daniel Muschar		9
Andy Pace		9
Rob Benson		10
Valerie Ramsower	10
Daniel Jenkins		10
Ashish Mahajan		10
Miguel Garcia		11
Diana Allen		11
Thomas Lowell		11
Rick Broussard		11
Gautam Gupta		11
Kayne Coulter		11
Robert Vargas		12
Larry Jester		12
Mike Grubbs		12
Gerald Gilbert		12
Bryce Schneider	12
Todd DeCook		12
Dean Laurent		12
Joe Quenet		12
Steve Pan		12
Reagan Mathews	12
Joe Step		13
Jaime Gualy		13
Joe Capasso		13
Pat Hanse		14
Ryan Williams		14


				
"
25,"The attached forecasts were generated with a slightly different weather forecast (ENA) than usually used due to temporary weather application interface problems.

         



Michael R. Frazier
Manager
Load Forecasting Desk
Enron Energy Services
Office: 713-345-3200
Pager: 877-926-0615
P-mail: 8779260615@skytel.com
"
26,"---------------------- Forwarded by Marcos Cunha/SAO/WLB on 13/12/2000 19:44
---------------------------


Nicola Tingas
13/12/2000 17:32

Sent by:  Frederico Turolla


To:   Gerhard Klein/D/WLB@WLB
cc:    (bcc: Marcos Cunha/SAO/WLB)
Subject:  Brazil Daily Dec 14

(See attached file: bd001214.pdf)

 - bd001214.pdf
"
27,"Most DC employees went to GW as recommended, although a few folks who had not been on the Hill decided to not to go.  Of the group who went to GW, several employees who had not been in the Hill for the last week were told by the doctor that they did not need to be tested.  The following employees were tested:  John Shelk, Pat Shortridge, Chris Long, Steve Burns, Allison Hamilton, Larry Decker, Carolyn Cooney, Carin Nersesian, and myself.  We were told to expect results in two days, although the doctors treating us expressed confidence that everyone would test negative.  Let me thank everyone for the terrific care and attention we received today.  DC continues to be an interesting place to be.  
"
28,"Congratulations to all for your hard work !
"
29,"1 billion divided by 5,000 victims = 200,000. Why do i know that the storey family will get none. (not that she needs it)

-----Original Message-----
From: Bradley E. Morrow [mailto:bradley@morrownet.net]
Sent: Wednesday, October 03, 2001 10:43 AM
To: Bradley E. Morrow; pys@morrownet.net; cmorrow@enron.com; gstorey@enron.com; Tracey Storey
Subject: Re: wtc gov urn and charities


Here is the file in case you have trouble w/ the link
 

----- Original Message ----- 
From: Bradley E. Morrow <mailto:bradley@morrownet.net> 
To: pys@morrownet.net <mailto:pys@morrownet.net> ; cmorrow@enron.com <mailto:cmorrow@enron.com> ; gstorey@enron.com <mailto:gstorey@enron.com> ; Tracey Storey <mailto:tastorey@earthlink.net> 
Sent: Tuesday, October 02, 2001 9:07 PM
Subject: wtc gov urn and charities

<http://my.aol.com/news/news_story.psp?type=1&cat=0100&id=0110021953090980>
"
